Algorithm,Architecture,Accumulations,Micro-Batch Size,Images/Second
pytorch_ssgd_vanilla,vgg19,1,32,407.39590894744543
pytorch_ssgd_vanilla,vgg19,1,32,407.5660970176018
pytorch_ssgd_vanilla,vgg19,1,32,407.56298810832686
pytorch_ssgd_vanilla,vgg19,2,32,613.7164679613554
pytorch_ssgd_vanilla,vgg19,2,32,611.3210712905724
pytorch_ssgd_vanilla,vgg19,2,32,609.9926437990242
pytorch_ssgd_vanilla,vgg19,2,32,608.9385438433612
pytorch_ssgd_vanilla,vgg19,2,32,612.8699816224071
pytorch_ssgd_vanilla,vgg19,2,32,612.524832560808
pytorch_ssgd_vanilla,vgg19,2,32,611.7307835301488
pytorch_ssgd_vanilla,vgg19,2,32,610.1088186691493
pytorch_ssgd_vanilla,vgg19,2,32,611.8861900409198
pytorch_ssgd_vanilla,vgg19,2,32,612.834643432559
pytorch_ssgd_vanilla,vgg19,4,32,824.412798611084
pytorch_ssgd_vanilla,vgg19,4,32,823.5934558638794
pytorch_ssgd_vanilla,vgg19,4,32,823.4087786138782
pytorch_ssgd_vanilla,vgg19,4,32,820.6949981781753
pytorch_ssgd_vanilla,vgg19,4,32,822.4361986977472
pytorch_ssgd_vanilla,vgg19,4,32,821.077735337476
pytorch_ssgd_vanilla,vgg19,4,32,822.47083584001
pytorch_ssgd_vanilla,vgg19,4,32,820.1065777492355
pytorch_ssgd_vanilla,vgg19,4,32,820.9077789263794
pytorch_ssgd_vanilla,vgg19,4,32,821.89787023815
pytorch_ssgd_vanilla,vgg19,8,32,973.6686011156944
pytorch_ssgd_vanilla,vgg19,8,32,972.3534475845594
pytorch_ssgd_vanilla,vgg19,8,32,970.5639057405908
pytorch_ssgd_vanilla,vgg19,8,32,971.5711482356884
pytorch_ssgd_vanilla,vgg19,8,32,970.8927090761948
pytorch_ssgd_vanilla,vgg19,8,32,970.9082452919488
pytorch_ssgd_vanilla,vgg19,8,32,970.9396697902448
pytorch_ssgd_vanilla,vgg19,8,32,971.06196848
pytorch_ssgd_vanilla,vgg19,8,32,970.9138352410756
pytorch_ssgd_vanilla,vgg19,8,32,971.1212452122404
pytorch_ssgd_vanilla,resnet18,1,32,3460.940199354504
pytorch_ssgd_vanilla,resnet18,1,32,3461.193343315684
pytorch_ssgd_vanilla,resnet18,1,32,3462.430162774665
pytorch_ssgd_vanilla,resnet18,1,32,3460.771654991536
pytorch_ssgd_vanilla,resnet18,1,32,3457.987164425073
pytorch_ssgd_vanilla,resnet18,1,32,3461.412672886837
pytorch_ssgd_vanilla,resnet18,1,32,3460.6253553276256
pytorch_ssgd_vanilla,resnet18,1,32,3458.226543769654
pytorch_ssgd_vanilla,resnet18,1,32,3459.0366679276776
pytorch_ssgd_vanilla,resnet18,1,32,3457.204142011852
pytorch_ssgd_vanilla,resnet18,2,32,4587.158064183426
pytorch_ssgd_vanilla,resnet18,2,32,4560.578141663643
pytorch_ssgd_vanilla,resnet18,2,32,4565.846538659584
pytorch_ssgd_vanilla,resnet18,2,32,4579.750583437893
pytorch_ssgd_vanilla,resnet18,2,32,4580.047206075858
pytorch_ssgd_vanilla,resnet18,2,32,4577.88190198487
pytorch_ssgd_vanilla,resnet18,2,32,4571.096319659706
pytorch_ssgd_vanilla,resnet18,2,32,4571.813201304164
pytorch_ssgd_vanilla,resnet18,2,32,4568.002600481912
pytorch_ssgd_vanilla,resnet18,2,32,4566.772859071415
pytorch_ssgd_vanilla,resnet18,4,32,5575.153173539048
pytorch_ssgd_vanilla,resnet18,4,32,5546.120967100895
pytorch_ssgd_vanilla,resnet18,4,32,5541.567290420064
pytorch_ssgd_vanilla,resnet18,4,32,5556.3058859635885
pytorch_ssgd_vanilla,resnet18,4,32,5546.944090994926
pytorch_ssgd_vanilla,resnet18,4,32,5538.861479927967
pytorch_ssgd_vanilla,resnet18,4,32,5496.215526271107
pytorch_ssgd_vanilla,resnet18,4,32,5454.01884889551
pytorch_ssgd_vanilla,resnet18,4,32,5442.237647039746
pytorch_ssgd_vanilla,resnet18,4,32,5440.8138566447205
pytorch_ssgd_vanilla,resnet18,8,32,6137.688660416213
pytorch_ssgd_vanilla,resnet18,8,32,6115.953659579353
pytorch_ssgd_vanilla,resnet18,8,32,6059.896506122059
pytorch_ssgd_vanilla,resnet18,8,32,6064.207479852566
pytorch_ssgd_vanilla,resnet18,8,32,6095.558438618626
pytorch_ssgd_vanilla,resnet18,8,32,6030.481164569085
pytorch_ssgd_vanilla,resnet18,8,32,6014.026576897274
pytorch_ssgd_vanilla,resnet18,8,32,6011.313021290224
pytorch_ssgd_vanilla,resnet18,8,32,6015.710879393579
pytorch_ssgd_vanilla,resnet18,8,32,5977.062445720394
pytorch_ssgd_vanilla,resnet50,1,32,1300.5122929411923
pytorch_ssgd_vanilla,resnet50,1,32,1300.1952573528954
pytorch_ssgd_vanilla,resnet50,1,32,1299.6270398208796
pytorch_ssgd_vanilla,resnet50,1,32,1295.1412767524014
pytorch_ssgd_vanilla,resnet50,1,32,1297.047425050611
pytorch_ssgd_vanilla,resnet50,1,32,1298.780199602032
pytorch_ssgd_vanilla,resnet50,1,32,1297.8957128995962
pytorch_ssgd_vanilla,resnet50,1,32,1297.0158056123407
pytorch_ssgd_vanilla,resnet50,1,32,1294.3184930726432
pytorch_ssgd_vanilla,resnet50,1,32,1292.2717626064205
pytorch_ssgd_vanilla,resnet50,2,32,1599.3899179152866
pytorch_ssgd_vanilla,resnet50,2,32,1599.5128201867824
pytorch_ssgd_vanilla,resnet50,2,32,1586.0650829737313
pytorch_ssgd_vanilla,resnet50,2,32,1582.381472538999
pytorch_ssgd_vanilla,resnet50,2,32,1587.2954686162257
pytorch_ssgd_vanilla,resnet50,2,32,1594.3744303837232
pytorch_ssgd_vanilla,resnet50,2,32,1584.2891985240788
pytorch_ssgd_vanilla,resnet50,2,32,1577.9170125505636
pytorch_ssgd_vanilla,resnet50,2,32,1578.2896162227844
pytorch_ssgd_vanilla,resnet50,2,32,1594.1844783924398
pytorch_ssgd_vanilla,resnet50,4,32,1794.8630608074209
pytorch_ssgd_vanilla,resnet50,4,32,1790.975401760854
pytorch_ssgd_vanilla,resnet50,4,32,1792.228153187557
pytorch_ssgd_vanilla,resnet50,4,32,1780.9160008522542
pytorch_ssgd_vanilla,resnet50,4,32,1781.614611414132
pytorch_ssgd_vanilla,resnet50,4,32,1776.7783398394536
pytorch_ssgd_vanilla,resnet50,4,32,1778.9526915327824
pytorch_ssgd_vanilla,resnet50,4,32,1776.9209942294435
pytorch_ssgd_vanilla,resnet50,4,32,1776.621311918171
pytorch_ssgd_vanilla,resnet50,4,32,1777.648498659365
pytorch_ssgd_vanilla,resnet50,8,32,1903.5895300015195
pytorch_ssgd_vanilla,resnet50,8,32,1902.9906852794088
pytorch_ssgd_vanilla,resnet50,8,32,1901.281074243217
pytorch_ssgd_vanilla,resnet50,8,32,1897.6846025718392
pytorch_ssgd_vanilla,resnet50,8,32,1895.519083345332
pytorch_ssgd_vanilla,resnet50,8,32,1894.4628641857216
pytorch_ssgd_vanilla,resnet50,8,32,1894.0307256303329
pytorch_ssgd_vanilla,resnet50,8,32,1894.2037343535128
pytorch_ssgd_vanilla,resnet50,8,32,1894.1180245795265
pytorch_ssgd_vanilla,resnet50,8,32,1892.3623637020044
pytorch_ssgd_vanilla,resnet101,1,32,783.4946083786291
pytorch_ssgd_vanilla,resnet101,1,32,782.2144722572239
pytorch_ssgd_vanilla,resnet101,1,32,781.9214369495091
pytorch_ssgd_vanilla,resnet101,1,32,780.8954339117454
pytorch_ssgd_vanilla,resnet101,1,32,779.420257664279
pytorch_ssgd_vanilla,resnet101,1,32,778.1996525770516
pytorch_ssgd_vanilla,resnet101,1,32,778.6394748604458
pytorch_ssgd_vanilla,resnet101,1,32,783.0919797416442
pytorch_ssgd_vanilla,resnet101,1,32,780.9098214979272
pytorch_ssgd_vanilla,resnet101,1,32,780.4259327103088
pytorch_ssgd_vanilla,resnet101,2,32,967.4186028053722
pytorch_ssgd_vanilla,resnet101,2,32,967.7853570220808
pytorch_ssgd_vanilla,resnet101,2,32,967.2950621071428
pytorch_ssgd_vanilla,resnet101,2,32,965.5365094498608
pytorch_ssgd_vanilla,resnet101,2,32,965.9725692969884
pytorch_ssgd_vanilla,resnet101,2,32,964.061809897404
pytorch_ssgd_vanilla,resnet101,2,32,965.2856437773638
pytorch_ssgd_vanilla,resnet101,2,32,962.70910887091
pytorch_ssgd_vanilla,resnet101,2,32,963.7386920302906
pytorch_ssgd_vanilla,resnet101,2,32,961.6702423638624
pytorch_ssgd_vanilla,resnet101,4,32,1097.4405771098532
pytorch_ssgd_vanilla,resnet101,4,32,1097.7243194881398
pytorch_ssgd_vanilla,resnet101,4,32,1096.241977403815
pytorch_ssgd_vanilla,resnet101,4,32,1095.9066544445957
pytorch_ssgd_vanilla,resnet101,4,32,1095.7479968834205
pytorch_ssgd_vanilla,resnet101,4,32,1095.9858791171416
pytorch_ssgd_vanilla,resnet101,4,32,1096.101151654928
pytorch_ssgd_vanilla,resnet101,4,32,1095.1086853438412
pytorch_ssgd_vanilla,resnet101,4,32,1094.833694677778
pytorch_ssgd_vanilla,resnet101,4,32,1095.0527105417816
pytorch_ssgd_vanilla,resnet101,8,32,1165.998671114098
pytorch_ssgd_vanilla,resnet101,8,32,1162.2732728661215
pytorch_ssgd_vanilla,resnet101,8,32,1163.1284421789137
pytorch_ssgd_vanilla,resnet101,8,32,1162.589894436206
pytorch_ssgd_vanilla,resnet101,8,32,1161.3856019826117
pytorch_ssgd_vanilla,resnet101,8,32,1160.47307178805
pytorch_ssgd_vanilla,resnet101,8,32,1162.1495444267036
pytorch_ssgd_vanilla,resnet101,8,32,1161.2449862886792
pytorch_ssgd_vanilla,resnet101,8,32,1159.8607024901278
pytorch_ssgd_vanilla,resnet101,8,32,1160.590068138274
