Algorithm,Architecture,Accumulations,Micro-Batch Size,Images/Second
pytorch_linear,resnet18,4,32,6887.504391522983
pytorch_linear,resnet18,4,32,6890.850288087695
pytorch_linear,resnet18,8,32,6913.205755993556
pytorch_linear,resnet18,8,32,6847.063797668967
pytorch_linear,resnet18,8,32,6876.256316535621
pytorch_linear,resnet18,8,32,6868.488831060054
pytorch_linear,resnet18,8,32,6816.086372053132
pytorch_linear,resnet18,8,32,6895.346164257326
pytorch_linear,resnet18,8,32,6863.94355804486
pytorch_linear,resnet18,8,32,6898.491897110567
pytorch_linear,resnet18,8,32,6840.117863323383
pytorch_linear,resnet18,8,32,6895.29280472411
pytorch_linear,resnet50,1,32,2080.2917044269816
pytorch_linear,resnet50,1,32,2076.756846067301
pytorch_linear,resnet50,1,32,2075.064802618874
pytorch_linear,resnet50,1,32,2071.637682282143
pytorch_linear,resnet50,1,32,2067.0628337939183
pytorch_linear,resnet50,1,32,2065.1385124825592
pytorch_linear,resnet50,1,32,2055.247942691752
pytorch_linear,resnet50,1,32,2052.50644177049
pytorch_linear,resnet50,1,32,2066.4219146434143
pytorch_linear,resnet50,1,32,2066.6828593406403
pytorch_linear,resnet50,2,32,2098.678003722259
pytorch_linear,resnet50,2,32,2090.213507873843
pytorch_linear,resnet50,2,32,2076.211670142199
pytorch_linear,resnet50,2,32,2091.252986338154
pytorch_linear,resnet50,2,32,2081.099940506498
pytorch_linear,resnet50,2,32,2082.1101149899628
pytorch_linear,resnet50,2,32,2090.31249106439
pytorch_linear,resnet50,2,32,2076.29288808021
pytorch_linear,resnet50,2,32,2091.6931711536417
pytorch_linear,resnet50,2,32,2076.6781733182
pytorch_linear,resnet50,4,32,2084.9586327365314
pytorch_linear,resnet50,4,32,2080.245521366709
pytorch_linear,resnet50,4,32,2084.126715496592
pytorch_linear,resnet50,4,32,2087.1713312578563
pytorch_linear,resnet50,4,32,2083.514480572813
pytorch_linear,resnet50,4,32,2081.572899126096
pytorch_linear,resnet50,4,32,2085.269114038696
pytorch_linear,resnet50,4,32,2083.390883614725
pytorch_linear,resnet50,4,32,2083.269910751521
pytorch_linear,resnet50,4,32,2083.646702571298
pytorch_linear,resnet50,8,32,2086.140738642548
pytorch_linear,resnet50,8,32,2085.26994735963
pytorch_linear,resnet50,8,32,2084.681525953584
pytorch_linear,resnet50,8,32,2083.041140789747
pytorch_linear,resnet50,8,32,2084.563596862263
pytorch_linear,resnet50,8,32,2082.094685579802
pytorch_linear,resnet50,8,32,2082.753110147948
pytorch_linear,resnet50,8,32,2083.151518011064
pytorch_linear,resnet50,8,32,2081.451881908144
pytorch_linear,resnet50,8,32,2080.0797699925224
pytorch_linear,resnet101,1,32,1293.2105150087862
pytorch_linear,resnet101,1,32,1289.8637818168363
pytorch_linear,resnet101,1,32,1286.126530350535
pytorch_linear,resnet101,1,32,1284.1301805146138
pytorch_linear,resnet101,1,32,1278.5103232375625
pytorch_linear,resnet101,1,32,1273.354035236246
pytorch_linear,resnet101,1,32,1283.2418137563789
pytorch_linear,resnet101,1,32,1274.9726182347626
pytorch_linear,resnet101,1,32,1269.4187853605715
pytorch_linear,resnet101,1,32,1279.2428468647267
pytorch_linear,resnet101,2,32,1255.8503177536193
pytorch_linear,resnet101,2,32,1261.1291251077062
pytorch_linear,resnet101,2,32,1258.3129025075098
pytorch_linear,resnet101,2,32,1256.6156702790436
pytorch_linear,resnet101,2,32,1256.6106210608834
pytorch_linear,resnet101,2,32,1260.863912902824
pytorch_linear,resnet101,2,32,1258.5634879402046
pytorch_linear,resnet101,2,32,1256.0469704900952
pytorch_linear,resnet101,2,32,1257.1046812977008
pytorch_linear,resnet101,2,32,1258.821184038235
pytorch_linear,resnet101,4,32,1288.8440001655886
pytorch_linear,resnet101,4,32,1288.546737874054
pytorch_linear,resnet101,4,32,1289.9311722263594
pytorch_linear,resnet101,4,32,1287.9023929632515
pytorch_linear,resnet101,4,32,1288.6816692137972
pytorch_linear,resnet101,4,32,1285.4211804037693
pytorch_linear,resnet101,4,32,1286.773659088106
pytorch_linear,resnet101,4,32,1282.5420323597614
pytorch_linear,resnet101,4,32,1287.6512707841975
pytorch_linear,resnet101,4,32,1287.4884644102217
pytorch_linear,resnet101,8,32,1291.4541489624112
pytorch_linear,resnet101,8,32,1291.5837856180335
pytorch_linear,resnet101,8,32,1290.6313116244332
pytorch_linear,resnet101,8,32,1289.9295257581202
pytorch_linear,resnet101,8,32,1290.2038682658465
pytorch_linear,resnet101,8,32,1290.400779843373
pytorch_linear,resnet101,8,32,1290.1599468793488
