Algorithm,Architecture,Accumulations,Micro-Batch Size,Images/Second
pytorch_ssgd,resnet152,1,32,653.0610041810738
pytorch_ssgd,resnet152,1,32,652.8923604759336
pytorch_ssgd,resnet152,1,32,651.6147959639884
pytorch_ssgd,resnet152,1,32,650.1572218267016
pytorch_ssgd,resnet152,1,32,651.4031107076083
pytorch_ssgd,resnet152,1,32,652.0505269445324
pytorch_ssgd,resnet152,1,32,650.4602511195011
pytorch_ssgd,resnet152,1,32,650.2205639794167
pytorch_ssgd,resnet152,1,32,650.0865463313553
pytorch_ssgd,resnet152,2,32,750.636237515676
pytorch_ssgd,resnet152,2,32,745.6210480596346
pytorch_ssgd,resnet152,2,32,741.704247737852
pytorch_ssgd,resnet152,2,32,741.5531190918257
pytorch_ssgd,resnet152,2,32,741.4263340246603
pytorch_ssgd,resnet152,2,32,740.7334205547662
pytorch_ssgd,resnet152,2,32,742.5419306318068
pytorch_ssgd,resnet152,2,32,739.492376015426
pytorch_ssgd,resnet152,2,32,741.2194008841043
pytorch_ssgd,resnet152,2,32,740.0811803502876
pytorch_ssgd,resnet152,4,32,794.4519400357299
pytorch_ssgd,resnet152,4,32,794.8261981120879
pytorch_ssgd,resnet152,4,32,810.8970818279164
pytorch_ssgd,resnet152,4,32,797.0124381034573
pytorch_ssgd,resnet152,4,32,809.9767726654838
pytorch_ssgd,resnet152,4,32,794.7188082647178
pytorch_ssgd,resnet152,4,32,793.1267839119189
pytorch_ssgd,resnet152,4,32,792.5775282409185
pytorch_ssgd,resnet152,4,32,795.4117966038924
pytorch_ssgd,resnet152,4,32,811.9221815076307
pytorch_ssgd,resnet152,8,32,833.7354328324707
pytorch_ssgd,resnet152,8,32,831.6764019133929
pytorch_ssgd,resnet152,8,32,832.0722255594358
pytorch_ssgd,resnet152,8,32,842.3502702520321
pytorch_ssgd,resnet152,8,32,841.1293447172072
pytorch_ssgd,resnet152,8,32,839.2866544433449
pytorch_ssgd,resnet152,8,32,835.1677252086039
pytorch_ssgd,resnet152,8,32,836.5484164980395
pytorch_ssgd,resnet152,8,32,836.6583773663567
pytorch_ssgd,resnet152,8,32,845.5112396726352
pytorch_ssgd,resnext101_32x8d,1,32,356.67142203329047
pytorch_ssgd,resnext101_32x8d,1,32,356.5868589726664
pytorch_ssgd,resnext101_32x8d,1,32,355.6489646025305
pytorch_ssgd,resnext101_32x8d,1,32,355.52843140276593
pytorch_ssgd,resnext101_32x8d,1,32,355.24378480785373
pytorch_ssgd,resnext101_32x8d,1,32,355.5507520845423
