Algorithm,Architecture,Accumulations,Micro-Batch Size,Images/Second
pytorch_laga,vgg16,1,32,560.6571817021072
pytorch_laga,vgg16,1,32,560.7869302320885
pytorch_laga,vgg16,1,32,560.0030213837484
pytorch_laga,vgg16,1,32,560.7653924340807
pytorch_laga,vgg16,1,32,559.7856782720046
pytorch_laga,vgg16,1,32,559.9602543925819
pytorch_laga,vgg16,1,32,559.9892113663292
pytorch_laga,vgg16,1,32,560.0317858778642
pytorch_laga,vgg16,1,32,559.8898161548734
pytorch_laga,vgg16,1,32,560.8002420298409
pytorch_laga,vgg16,2,32,993.4173473471302
pytorch_laga,vgg16,2,32,993.7659807727376
pytorch_laga,vgg16,2,32,993.1695925914796
pytorch_laga,vgg16,2,32,993.9974318461406
pytorch_laga,vgg16,2,32,993.6160469399192
pytorch_laga,vgg16,2,32,993.6206810507292
pytorch_laga,vgg16,2,32,993.4488400868248
pytorch_laga,vgg16,2,32,993.9938037002612
pytorch_laga,vgg16,2,32,993.5452460876716
pytorch_laga,vgg16,2,32,993.06282133137
pytorch_laga,vgg16,4,32,1285.4110875947574
pytorch_laga,vgg16,4,32,1299.2101897491525
pytorch_laga,vgg16,4,32,1293.966675685485
pytorch_laga,vgg16,4,32,1276.3715149116158
pytorch_laga,vgg16,4,32,1268.995862720298
pytorch_laga,vgg16,4,32,1266.3633715642795
pytorch_laga,vgg16,4,32,1266.1272770261603
pytorch_laga,vgg16,4,32,1268.884421029995
pytorch_laga,vgg16,4,32,1299.904418931456
pytorch_laga,vgg16,4,32,1284.3086158824133
pytorch_laga,vgg16,8,32,1292.738363830187
pytorch_laga,vgg16,8,32,1290.138422911832
pytorch_laga,vgg16,8,32,1290.3277342169074
pytorch_laga,vgg16,8,32,1290.798781721664
pytorch_laga,vgg16,8,32,1290.757919265982
pytorch_laga,vgg16,8,32,1295.2684478860913
pytorch_laga,vgg16,8,32,1296.2469340756263
pytorch_laga,vgg16,8,32,1298.7999751806728
pytorch_laga,vgg16,8,32,1299.47804993878
pytorch_laga,vgg16,8,32,1301.0076115988545
